基金代码,拼音缩写,基金简称,基金类型,拼音全称,status,last_updated
000001,HXCZHH,华夏成长混合,混合型-灵活,HUAXIACHENGZHANGHUNHE,valid,2025-12-15 10:58:43
000002,HXCZHH,华夏成长混合(后端),混合型-灵活,HUAXIACHENGZHANGHUNHE,unknown,
000003,ZHKZZZQA,中海可转债债券A,债券型-混合二级,ZHONGHAIKEZHUANZHAIZHAIQUANA,unknown,
000004,ZHKZZZQC,中海可转债债券C,债券型-混合二级,ZHONGHAIKEZHUANZHAIZHAIQUANC,unknown,
000005,JSZQXYDQZQ,嘉实增强信用定期债券,债券型-混合一级,JIASHIZENGQIANGXINYONGDINGQIZHAIQUAN,unknown,
000006,XBLDLHCZHHA,西部利得量化成长混合A,混合型-偏股,XIBULIDELIANGHUACHENGZHANGHUNHEA,unknown,
000008,JSZZ500ETFLJA,嘉实中证500ETF联接A,指数型-股票,JIASHIZHONGZHENG500ETFLIANJIEA,unknown,
000009,YFDTTLCHBA,易方达天天理财货币A,货币型-普通货币,YIFANGDATIANTIANLICAIHUOBIA,unknown,
000010,YFDTTLCHBB,易方达天天理财货币B,货币型-普通货币,YIFANGDATIANTIANLICAIHUOBIB,unknown,
000011,HXDPJXHHA,华夏大盘精选混合A,混合型-灵活,HUAXIADAPANJINGXUANHUNHEA,unknown,
000012,HXDPJXHHA,华夏大盘精选混合A(后端),混合型-灵活,HUAXIADAPANJINGXUANHUNHEA,unknown,
000013,YFDTTLCHBR,易方达天天理财货币R,货币型-普通货币,YIFANGDATIANTIANLICAIHUOBIR,invalid,2025-12-16 17:09:39
000014,HXJLZQA,华夏聚利债券A,债券型-混合一级,HUAXIAJULIZHAIQUANA,unknown,
000015,HXCZZQA,华夏纯债债券A,债券型-长债,HUAXIACHUNZHAIZHAIQUANA,unknown,
000016,HXCZZQC,华夏纯债债券C,债券型-长债,HUAXIACHUNZHAIZHAIQUANC,unknown,
000017,CTKCXHH,财通可持续混合,混合型-偏股,CAITONGKECHIXUHUNHE,unknown,
000020,JSCCPZTZHHA,景顺长城品质投资混合A,混合型-偏股,JINGSHUNCHANGCHENGPINZHITOUZIHUNHEA,unknown,
000021,HXYSZZHH,华夏优势增长混合,混合型-偏股,HUAXIAYOUSHIZENGZHANGHUNHE,unknown,
000024,DMSLZQZQA,大摩双利增强债券A,债券型-混合一级,DAMOSHUANGLIZENGQIANGZHAIQUANA,unknown,
000025,DMSLZQZQC,大摩双利增强债券C,债券型-混合一级,DAMOSHUANGLIZENGQIANGZHAIQUANC,unknown,
000028,HFAXZQA,华富安鑫债券A,债券型-混合二级,HUAFUANXINZHAIQUANA,unknown,
000029,FGHGCLLHPZHHA,富国宏观策略灵活配置混合A,混合型-灵活,FUGUOHONGGUANCELUELINGHUOPEIZHIHUNHEA,unknown,
000030,CCHXYXHHA,长城核心优选混合A,混合型-灵活,CHANGCHENGHEXINYOUXUANHUNHEA,unknown,
000031,HXFXHHA,华夏复兴混合A,混合型-偏股,HUAXIAFUXINGHUNHEA,unknown,
000032,YFDXYZZQA,易方达信用债债券A,债券型-长债,YIFANGDAXINYONGZHAIZHAIQUANA,unknown,
000033,YFDXYZZQC,易方达信用债债券C,债券型-长债,YIFANGDAXINYONGZHAIZHAIQUANC,unknown,
000037,GFJNZQA,广发景宁债券A,债券型-长债,GUANGFAJINGNINGZHAIQUANA,unknown,
000039,NYGZZHH,农银高增长混合,混合型-偏股,NONGYINGAOZENGZHANGHUNHE,unknown,
000041,HXQQGPQDIIRMB,华夏全球股票(QDII)(人民币),QDII-普通股票,HUAXIAQUANQIUGUPIAOQDIIRENMINBI,unknown,
000042,CTZZESG100ZSZQA,财通中证ESG100指数增强A,指数型-股票,CAITONGZHONGZHENGESG100ZHISHUZENGQIANGA,unknown,
000043,JSMGCZGPRMB,嘉实美国成长股票人民币,QDII-普通股票,JIASHIMEIGUOCHENGZHANGGUPIAORENMINBI,unknown,
000044,JSMGCZGPMYXH,嘉实美国成长股票美元现汇,QDII-普通股票,JIASHIMEIGUOCHENGZHANGGUPIAOMEIYUANXIANHUI,unknown,
000045,GYCYZZQA,工银产业债债券A,债券型-混合二级,GONGYINCHANYEZHAIZHAIQUANA,unknown,
000046,GYCYZZQB,工银产业债债券B,债券型-混合二级,GONGYINCHANYEZHAIZHAIQUANB,unknown,
000047,HXSZZQA,华夏双债债券A,债券型-混合一级,HUAXIASHUANGZHAIZHAIQUANA,unknown,
000048,HXSZZQC,华夏双债债券C,债券型-混合一级,HUAXIASHUANGZHAIZHAIQUANC,unknown,
000051,HXHS300ETFLJA,华夏沪深300ETF联接A,指数型-股票,HUAXIAHUSHEN300ETFLIANJIEA,unknown,
000053,PHYCYNDKZQ,鹏华永诚一年定开债券,债券型-长债,PENGHUAYONGCHENGYINIANDINGKAIZHAIQUAN,unknown,
000054,PHSZZLZQA,鹏华双债增利债券A,债券型-混合二级,PENGHUASHUANGZHAIZENGLIZHAIQUANA,unknown,
000055,GFNSDK100ETFLJMYQDIIA,广发纳斯达克100ETF联接美元(QDII)A,指数型-海外股票,GUANGFANASIDAKE100ETFLIANJIEMEIYUANQDIIA,unknown,
000056,JXXFSJHH,建信消费升级混合,混合型-灵活,JIANXINXIAOFEISHENGJIHUNHE,unknown,
000057,ZYXFZTHHA,中银消费主题混合A,混合型-偏股,ZHONGYINXIAOFEIZHUTIHUNHEA,unknown,
000058,GLAATLHPZHHA,国联安安泰灵活配置混合A,混合型-灵活,GUOLIANANANTAILINGHUOPEIZHIHUNHEA,unknown,
000059,GLAZZYY100A,国联安中证医药100A,指数型-股票,GUOLIANANZHONGZHENGYIYAO100A,unknown,
000061,HXSSHH,华夏盛世混合,混合型-偏股,HUAXIASHENGSHIHUNHE,unknown,
000063,CSDZXXZTLHPZHH,长盛电子信息主题灵活配置混合,混合型-灵活,CHANGSHENGDIANZIXINXIZHUTILINGHUOPEIZHIHUNHE,unknown,
000064,DM18GYDKZC,大摩18个月定开债C,债券型-长债,DAMO18GEYUEDINGKAIZHAIC,unknown,
000065,GFJDQDHHA,国富焦点驱动混合A,混合型-灵活,GUOFUJIAODIANQUDONGHUNHEA,unknown,
000066,NAHXHHA,诺安鸿鑫混合A,混合型-偏股,NUOANHONGXINHUNHEA,unknown,
000067,MSJYZZYXA,民生加银转债优选A,债券型-混合二级,MINSHENGJIAYINZHUANZHAIYOUXUANA,unknown,
000068,MSJYZZYXC,民生加银转债优选C,债券型-混合二级,MINSHENGJIAYINZHUANZHAIYOUXUANC,unknown,
000069,GTRYZGDJZQA,国投瑞银中高等级债券A,债券型-混合一级,GUOTOURUIYINZHONGGAODENGJIZHAIQUANA,unknown,
000070,GTRYZGDJZQC,国投瑞银中高等级债券C,债券型-混合一级,GUOTOURUIYINZHONGGAODENGJIZHAIQUANC,unknown,
