序号,股票代码,股票名称,占净值比例,持股数,持仓市值,季度
1,688981,中芯国际,10.12,65.58,5858.4,2025年1季度股票投资明细
2,688041,海光信息,9.39,38.49,5438.82,2025年1季度股票投资明细
3,688256,寒武纪,8.68,8.07,5027.92,2025年1季度股票投资明细
4,688008,澜起科技,8.27,61.2,4790.45,2025年1季度股票投资明细
5,688012,中微公司,7.44,23.35,4305.58,2025年1季度股票投资明细
6,688521,芯原股份,3.44,18.79,1992.22,2025年1季度股票投资明细
7,688126,沪硅产业,2.84,88.4,1641.56,2025年1季度股票投资明细
8,688608,恒玄科技,2.71,3.86,1570.19,2025年1季度股票投资明细
9,688099,晶晨股份,2.58,17.93,1496.61,2025年1季度股票投资明细
10,688213,思特威,2.51,15.01,1456.12,2025年1季度股票投资明细
11,603205,健尔康,0.0,0.01,0.43,2025年1季度股票投资明细
12,688981,中芯国际,10.23,64.64,5698.97,2025年2季度股票投资明细
13,688041,海光信息,10.17,40.1,5665.84,2025年2季度股票投资明细
14,688256,寒武纪,9.61,8.9,5354.07,2025年2季度股票投资明细
15,688008,澜起科技,8.03,54.54,4472.04,2025年2季度股票投资明细
16,688012,中微公司,6.82,20.85,3800.92,2025年2季度股票投资明细
17,688521,芯原股份,2.9,16.71,1612.36,2025年2季度股票投资明细
18,688126,沪硅产业,2.64,78.54,1470.33,2025年2季度股票投资明细
19,688608,恒玄科技,2.51,4.01,1395.37,2025年2季度股票投资明细
20,688213,思特威,2.46,13.41,1370.3,2025年2季度股票投资明细
21,688120,华海清科,2.39,7.89,1331.85,2025年2季度股票投资明细
22,688002,睿创微纳,2.18,17.38,1212.03,2025年2季度股票投资明细
23,688396,华润微,2.14,25.31,1193.45,2025年2季度股票投资明细
24,688099,晶晨股份,2.05,16.05,1140.04,2025年2季度股票投资明细
25,688347,华虹公司,1.91,19.41,1066.02,2025年2季度股票投资明细
26,688525,佰维存储,1.86,15.36,1035.5,2025年2季度股票投资明细
27,688072,拓荆科技,1.84,6.67,1024.55,2025年2季度股票投资明细
28,688047,龙芯中科,1.83,7.64,1019.66,2025年2季度股票投资明细
29,688220,翱捷科技,1.68,11.95,935.32,2025年2季度股票投资明细
30,688361,中科飞测,1.61,10.66,897.37,2025年2季度股票投资明细
31,688019,安集科技,1.53,5.6,849.61,2025年2季度股票投资明细
32,688052,纳芯微,1.49,4.76,831.39,2025年2季度股票投资明细
33,688037,芯源微,1.48,7.67,822.06,2025年2季度股票投资明细
34,688249,晶合集成,1.39,38.24,775.16,2025年2季度股票投资明细
35,688385,复旦微电,1.36,15.35,756.44,2025年2季度股票投资明细
36,688018,乐鑫科技,1.18,4.48,654.64,2025年2季度股票投资明细
37,688582,芯动联科,1.15,9.54,640.78,2025年2季度股票投资明细
38,688536,思瑞浦,1.1,4.42,613.64,2025年2季度股票投资明细
39,688728,格科微,1.03,37.17,572.49,2025年2季度股票投资明细
40,688484,南芯科技,1.01,14.17,560.45,2025年2季度股票投资明细
41,688498,源杰科技,1.0,2.87,558.75,2025年2季度股票投资明细
42,688200,华峰测控,1.0,3.86,557.3,2025年2季度股票投资明细
43,688234,天岳先进,0.86,8.2,480.17,2025年2季度股票投资明细
44,688082,盛美上海,0.86,4.19,476.96,2025年2季度股票投资明细
45,688110,东芯股份,0.81,14.76,452.49,2025年2季度股票投资明细
46,688141,杰华特,0.75,12.78,416.28,2025年2季度股票投资明细
47,688279,峰岹科技,0.73,2.19,406.84,2025年2季度股票投资明细
48,688409,富创精密,0.72,7.26,399.37,2025年2季度股票投资明细
49,688702,盛科通信,0.64,5.88,359.22,2025年2季度股票投资明细
50,688362,甬矽电子,0.62,11.66,347.11,2025年2季度股票投资明细
51,688798,艾为电子,0.54,4.41,300.84,2025年2季度股票投资明细
52,688709,成都华微,0.54,9.12,298.64,2025年2季度股票投资明细
53,688352,颀中科技,0.45,22.52,252.85,2025年2季度股票投资明细
54,688332,中科蓝讯,0.42,2.29,235.84,2025年2季度股票投资明细
55,688172,燕东微,0.4,11.38,223.69,2025年2季度股票投资明细
56,688549,中巨芯,0.39,28.15,217.91,2025年2季度股票投资明细
57,688146,中船特气,0.39,7.51,217.09,2025年2季度股票投资明细
58,688107,安路科技,0.39,7.64,215.84,2025年2季度股票投资明细
59,688432,有研硅,0.35,17.72,195.64,2025年2季度股票投资明细
60,688584,上海合晶,0.31,9.52,170.22,2025年2季度股票投资明细
61,688153,唯捷创芯,0.23,4.08,126.49,2025年2季度股票投资明细
62,688041,海光信息,11.09,104.75,26460.46,2025年3季度股票投资明细
63,688008,澜起科技,9.95,153.26,23725.07,2025年3季度股票投资明细
64,688981,中芯国际,9.54,162.42,22760.03,2025年3季度股票投资明细
65,688256,寒武纪,8.64,15.56,20613.56,2025年3季度股票投资明细
66,688012,中微公司,7.35,58.61,17525.12,2025年3季度股票投资明细
67,688521,芯原股份,3.61,47.03,8607.04,2025年3季度股票投资明细
68,688347,华虹公司,2.63,54.71,6267.65,2025年3季度股票投资明细
69,688126,沪硅产业,2.39,221.21,5707.23,2025年3季度股票投资明细
70,688120,华海清科,2.29,33.12,5471.11,2025年3季度股票投资明细
71,688099,晶晨股份,2.1,45.15,5020.0,2025年3季度股票投资明细
72,603418,友升股份,0.0,0.01,0.78,2025年3季度股票投资明细
