净值日期,单位净值,日增长率
2019-08-16,0.9999,0.0
2019-08-23,0.9999,0.0
2019-08-30,0.9974,0.0
2019-09-05,1.0272,0.0
2019-09-06,1.0539,2.5993
2019-09-09,1.1071,5.0479
2019-09-10,1.0866,-1.8517
2019-09-11,1.0704,-1.4909
2019-09-12,1.0819,1.0744
2019-09-16,1.0866,0.4344
2019-09-17,1.0587,-2.5676
2019-09-18,1.0546,-0.3873
2019-09-19,1.0832,2.7119
2019-09-20,1.0848,0.1477
2019-09-23,1.0841,-0.0645
2019-09-24,1.0974,1.2268
2019-09-25,1.0661,-2.8522
2019-09-26,1.0178,-4.5305
2019-09-27,1.0344,1.631
2019-09-30,1.0136,-2.0108
2019-10-08,1.0004,-1.3023
2019-10-09,1.0117,1.1295
2019-10-10,1.0353,2.3327
2019-10-11,1.0315,-0.367
2019-10-14,1.0456,1.3669
2019-10-15,1.0167,-2.764
2019-10-16,1.0073,-0.9246
2019-10-17,1.009,0.1688
2019-10-18,0.9977,-1.1199
2019-10-21,0.9917,-0.6014
2019-10-22,1.0063,1.4722
2019-10-23,0.9993,-0.6956
2019-10-24,0.9947,-0.4603
2019-10-25,1.0064,1.1762
2019-10-28,1.031,2.4444
2019-10-29,1.012,-1.8429
2019-10-30,1.0028,-0.9091
2019-10-31,0.9977,-0.5086
2019-11-01,1.0065,0.882
2019-11-04,1.0245,1.7884
2019-11-05,1.0276,0.3026
2019-11-06,1.0121,-1.5084
2019-11-07,1.0176,0.5434
2019-11-08,1.0212,0.3538
2019-11-11,0.997,-2.3698
2019-11-12,0.994,-0.3009
2019-11-13,0.9967,0.2716
2019-11-14,1.0096,1.2943
2019-11-15,0.9915,-1.7928
2019-11-18,0.9983,0.6858
2019-11-19,1.0174,1.9133
2019-11-20,1.0074,-0.9829
2019-11-21,1.0087,0.129
2019-11-22,1.0029,-0.575
2019-11-25,0.9823,-2.054
2019-11-26,0.9838,0.1527
2019-11-27,0.996,1.2401
2019-11-28,0.9954,-0.0602
2019-11-29,0.9974,0.2009
2019-12-02,1.004,0.6617
2019-12-03,1.0129,0.8865
2019-12-04,1.0091,-0.3752
2019-12-05,1.0274,1.8135
2019-12-06,1.0383,1.0609
2019-12-09,1.0388,0.0482
2019-12-10,1.0532,1.3862
2019-12-11,1.0506,-0.2469
2019-12-12,1.0558,0.495
2019-12-13,1.0616,0.5493
2019-12-16,1.0804,1.7709
2019-12-17,1.096,1.4439
2019-12-18,1.0964,0.0365
2019-12-19,1.0906,-0.529
2019-12-20,1.0688,-1.9989
2019-12-23,1.0375,-2.9285
2019-12-24,1.0533,1.5229
2019-12-25,1.0683,1.4241
2019-12-26,1.0693,0.0936
2019-12-27,1.0552,-1.3186
2019-12-30,1.0633,0.7676
2019-12-31,1.0706,0.6865
2020-01-02,1.0917,1.9709
2020-01-03,1.0971,0.4946
